date,open,high,low,close,volume,market_cap
2020-08-04,"11,246.20","11,385.38","11,094.15","11,205.89","21,250,197,042","206,767,135,617"
2020-08-03,"11,043.77","11,453.08","11,012.41","11,246.35","20,271,713,443","207,503,423,456"
2020-08-02,"11,758.76","12,034.14","11,018.13","11,053.61","27,410,067,336","203,936,136,730"
2020-08-01,"11,322.57","11,794.78","11,239.68","11,759.59","26,075,670,303","216,950,669,098"
2020-07-31,"11,110.21","11,415.86","10,987.05","11,323.47","23,160,469,766","208,895,308,529"
2020-07-30,"11,099.83","11,169.36","10,895.46","11,111.21","22,857,247,901","204,969,047,788"
2020-07-29,"10,912.95","11,304.40","10,856.14","11,100.47","24,617,249,715","204,761,455,133"
2020-07-28,"11,017.46","11,204.33","10,632.63","10,912.82","28,766,551,142","201,290,022,193"
2020-07-27,"9,905.22","11,298.22","9,903.97","10,990.87","35,359,749,590","202,719,581,737"
2020-07-26,"9,680.23","10,023.81","9,652.85","9,905.17","20,507,998,997","182,685,328,095"
2020-07-25,"9,539.49","9,704.56","9,530.21","9,677.11","16,610,070,933","178,469,614,078"
2020-07-24,"9,585.51","9,623.34","9,481.45","9,536.89","16,552,768,325","175,875,016,548"
2020-07-23,"9,527.14","9,610.25","9,483.00","9,581.07","18,146,399,002","176,680,237,480"
2020-07-22,"9,375.08","9,530.52","9,319.65","9,525.36","16,532,254,884","175,644,844,408"
2020-07-21,"9,162.51","9,407.26","9,149.39","9,374.89","18,069,581,956","172,861,732,402"
2020-07-20,"9,187.22","9,214.27","9,137.51","9,164.23","13,755,604,146","168,970,262,859"
2020-07-19,"9,158.01","9,201.40","9,097.63","9,185.82","12,939,002,784","169,360,219,986"
2020-07-18,"9,151.18","9,230.98","9,100.82","9,159.04","12,252,601,475","168,858,972,269"
2020-07-17,"9,131.81","9,182.25","9,089.20","9,151.39","13,944,570,749","168,710,427,574"
2020-07-16,"9,191.98","9,214.31","9,088.95","9,132.23","15,713,967,523","168,350,501,976"
2020-07-15,"9,241.90","9,275.33","9,171.93","9,192.84","15,844,731,575","169,460,074,576"
2020-07-14,"9,238.70","9,283.84","9,171.66","9,243.21","18,085,038,362","170,380,670,525"
2020-07-13,"9,277.20","9,306.40","9,224.29","9,243.61","17,519,821,266","170,379,677,119"
2020-07-12,"9,241.06","9,319.42","9,197.45","9,276.50","14,452,361,907","170,977,422,928"
2020-07-11,"9,277.51","9,293.53","9,199.49","9,240.35","13,249,910,444","170,302,234,778"
2020-07-10,"9,273.36","9,287.47","9,118.00","9,278.81","16,860,035,605","171,001,933,827"
2020-07-09,"9,427.99","9,431.38","9,235.00","9,277.97","18,000,702,524","170,977,231,638"
2020-07-08,"9,253.02","9,450.34","9,249.50","9,428.33","19,702,359,883","173,738,543,115"
2020-07-07,"9,349.16","9,360.62","9,201.82","9,252.28","13,839,652,595","170,485,472,276"
2020-07-06,"9,072.85","9,375.47","9,058.66","9,375.47","17,889,263,252","172,746,103,840"
2020-07-05,"9,126.09","9,162.18","8,977.02","9,073.94","12,903,406,143","167,181,726,154"
2020-07-04,"9,084.23","9,183.30","9,053.63","9,132.49","12,290,528,515","168,251,076,678"
2020-07-03,"9,124.84","9,202.34","9,058.79","9,087.30","13,078,970,999","167,409,720,388"
2020-07-02,"9,231.14","9,274.96","9,036.62","9,123.41","16,338,916,796","168,065,586,387"
2020-07-01,"9,145.99","9,309.75","9,104.73","9,228.33","15,971,550,355","169,988,756,578"
2020-06-30,"9,185.58","9,217.84","9,084.84","9,137.99","15,735,797,744","168,315,606,321"
2020-06-29,"9,140.03","9,237.57","9,041.88","9,190.85","16,460,547,078","169,280,659,246"
2020-06-28,"9,048.46","9,197.55","8,975.53","9,143.58","14,560,870,760","168,401,806,137"
2020-06-27,"9,167.82","9,207.81","8,998.22","9,045.39","17,273,093,144","166,584,831,506"
2020-06-26,"9,260.99","9,310.52","9,101.74","9,162.92","18,341,465,837","168,741,367,622"
2020-06-25,"9,314.13","9,340.16","9,095.32","9,264.81","18,616,048,626","170,608,289,504"
2020-06-24,"9,632.15","9,680.37","9,278.23","9,313.61","18,961,716,076","171,498,781,280"
2020-06-23,"9,644.08","9,670.54","9,547.25","9,629.66","17,006,433,272","177,310,052,079"
2020-06-22,"9,300.92","9,655.07","9,296.87","9,648.72","21,104,009,514","177,651,397,437"
2020-06-21,"9,330.93","9,401.11","9,300.43","9,303.63","15,324,301,169","171,289,415,079"
2020-06-20,"9,290.96","9,394.97","9,247.38","9,332.34","17,130,541,557","171,809,438,651"
2020-06-19,"9,410.29","9,440.88","9,274.30","9,288.02","19,632,223,107","170,985,625,732"
2020-06-18,"9,481.57","9,482.78","9,328.40","9,411.84","17,770,083,003","173,256,688,664"
2020-06-17,"9,533.78","9,540.42","9,327.34","9,480.26","20,177,709,879","174,508,805,561"
2020-06-16,"9,454.27","9,579.43","9,400.45","9,538.02","21,565,537,209","175,563,963,385"
2020-06-15,"9,386.04","9,504.86","8,990.18","9,450.70","26,699,704,768","173,947,607,772"
2020-06-14,"9,477.55","9,482.27","9,347.59","9,386.79","18,991,732,746","172,763,239,787"
2020-06-13,"9,480.74","9,493.21","9,396.01","9,475.28","17,564,322,315","174,381,819,725"
2020-06-12,"9,320.69","9,540.47","9,285.85","9,480.84","22,610,564,515","174,474,896,922"
2020-06-11,"9,870.08","9,938.30","9,263.07","9,321.78","30,247,143,440","171,538,133,043"
2020-06-10,"9,794.12","9,908.90","9,728.29","9,870.09","25,706,567,601","181,616,765,438"
2020-06-09,"9,774.36","9,836.37","9,664.72","9,795.70","23,717,842,783","180,237,817,527"
2020-06-08,"9,760.06","9,782.31","9,675.89","9,771.49","21,486,346,312","179,782,576,534"
2020-06-07,"9,653.00","9,768.50","9,458.15","9,758.85","25,015,250,846","179,540,253,701"
2020-06-06,"9,664.90","9,773.43","9,591.02","9,653.68","20,438,419,222","177,595,657,884"
2020-06-05,"9,800.22","9,869.24","9,663.22","9,665.53","23,509,628,646","177,801,825,145"
2020-06-04,"9,655.85","9,887.61","9,525.25","9,800.64","25,921,805,072","180,276,153,545"
2020-06-03,"9,533.76","9,682.86","9,471.85","9,656.72","25,007,459,262","177,619,631,126"
2020-06-02,"10,162.97","10,182.34","9,460.57","9,529.80","39,137,252,109","175,277,218,229"
2020-06-01,"9,463.61","10,199.56","9,450.90","10,167.27","35,198,901,068","186,993,405,740"
2020-05-31,"9,700.11","9,700.34","9,432.30","9,461.06","27,773,290,299","173,997,151,930"
2020-05-30,"9,438.91","9,704.03","9,366.73","9,700.41","32,722,975,141","178,390,129,758"
2020-05-29,"9,528.36","9,573.67","9,379.34","9,439.12","32,896,642,044","173,575,756,364"
2020-05-28,"9,184.94","9,546.32","9,148.46","9,525.75","34,367,073,114","175,161,235,290"
